id;artist;category;genre;title;year
100059;ã å â ã â²â ã â â ã â ;data;rock;super live ã â â ã å â ã â â ã â œã â â disc 1;1990
100060;various;wh11109 2;data;windhamhillsampler 92;
100062;in vanity we trust;data;synthpop;posh;1999
100063;various artists;data;;an audio cd of african american oral traditions;
100064;savage;data;;tonight;
100065;atmo brtschitsch;data;;change your life;
100066;del amitri;data;rock;twisted;1995
100067;â â ã ã â½âºã ã ã â ;data;data;8th;
100068;diversetion ;data;data;zeitgeist the psychedelic shack future funk and beatsploitation ;
100069;nikos hatzopoulos;data;ethnic;the aegean violin;1996
100070;perseguidos;data;cumbia;iii;2004
100071;â ã ã ãÿâ ã ãˆâ¹;data;contemporary christian music;â ãµâºâ â ã âµâµâ â ã â ã ã â ã ã â½â¾ã 6;2002
100072;various artistsry cd2;data;club;ministry of sound sessions eight todd terry cd2;1997
100073;les vamps;data;;2 eme show;
100074;ã ã ã ã ã ã ãª;data;pop;absolutã ã ã ã ãˆã 2;2003
100075;buster b jones;folk;folk;ballads barn burners;1999
100076;v rios;folk;;folia de s o jo o;
100077;franz lambert;folk;instrumental;franz lambert spielt beliebte evergreens;1977
100078;leon siu and david kawika kahiapo;folk;;slack key praise;
100080;freikorps;folk;national folk;kai freikorps nordmann;
100081;detlef jã cker;folk;vocal;und weiter geht s im sauseschritt;
100082;barry mcguire;folk;oldies;eve of destruction;1985
100083;â¼â¼â¹ãœã ã â¼ã â â â â¹â¾ã â¼â â â³â ãœ;folk;;â¼â¼â¹ãœã ã â¼ã â â ;
100084;hana a petr ulrychovi;folk;;nikola suhaj loupeznik;
100085;primus;folk;gospel;juletoner;1995
100086;the pandanus club;folk;;ho ike;
100087;tschou zã me ;folk;;wã ge dir;
100088;clive gregson;folk;;comfort and joy;
100089;various artists;folk;folk;dorival caymmi;
100090;gauchesco;folk;folk;mano lima;2002
100091;marco pereira;folk;folk;elegia;1990
100092;paveier;folk;folklore;beinah gefã¼hlsecht und lebensfroh ;
100093;johnny light;folk;folk;verhaal zonder woorden;
100094;keri noble;folk;pop;fearless;2004
100095;peder persson;folk;folk;fã dselfest;2001
100096;epo;folk;pop folk;poptracks;1987
100097;north cregg;folk;folk;summer at my feet;2003
100098;eleni moraites;folk;;rival;
100099;fabienne thibeault;folk;;les plus belles chansons cd 2 2;
100100;sofi marinova;folk;pop folk;osadena liubov;2002
100101;various;folk;folk;ich hab schlager lieb;1999
100102;justin mcroberts;folk;folk rock;reason for living;1999
100103;varios;folk;;time well spent 93;
100104;mary black;folk;;without the fanfare;
100105;arzu;folk;national folk;ceylanim;
100106;dunaways;folk;gospel;beautiful day;2003
100107;indigo girls;folk;;shaming of the sun;
100108;indigo girls;folk;;strange fire;
100109;the choir company;folk;gospel;laat uw grootheid zien;1997
100110;ciãºnas;folk;irish;celtic tiger;2001
100111;isle of light;folk;celtic;winters welcome;2002
100112;holly near;folk;folk;simply love disc one;2000
100113;the string cheese incident;folk;j a m;untying the not;2003
100114;gerardo peã a;folk;folklore;nada;
100115;lj booth;folk;folk;the ox that pulls the cart;2002
100116;stefan sundstrã m;folk;;babyland;
100117;lovett lyle;folk;folk;the road to ensenada;
100118;kisho real selectah;folk;;pssst remix;
100119;rebecca st james;folk;gospel;pray;1998
100120;ã â ã â ã â¾ã â ã â ;folk;folk;ã â â ã âºâºã â â¾ã â å ã â â ã âºå ;
100121;iris;folk;indie;after school special;
100122;lanã ando as redes;folk;gospel;grito da noiva;
100123;eugene cole and persuaded;folk;gospel;he will work it out;1999
100124;various artists;folk;folk;zlote przeboje polskiego socjalizmu;1999
100125;roger fortner;folk;gospel;quiet time hymns on the guitar;1998
100126;tom paxton;folk;;balloon alloon alloon;
100127;franco bleve canto antico della nostra terra;folk;folklore;canzoni brindisine;1989
100128;various artistse 2;folk;holiday christmas;holiday favorites christmas collection volume 2;1998
100129;fnac choice;folk;pop;salute flamenco;2003
100130;leo kottke;folk;folk;6 and 12 string guitar;
100131;tokio uchida;folk;folk;coconuts clash;
100132;derecho de madrid;folk;folk;de madrid a mexico pasando por cuba;
100133;all the best from russia;folk;;all the best from russia;
100134;songs 4 worship;folk;christian;holy ground disc 2;1998
100135;various artists;folk;folk;populã re musik aus griechenland;
100136;joan baez;folk;;5;
100137;marianne kesler;folk;;all the days of my life;
100138;mustafa sandal;folk;folk;araba;1999
100139;josã reza;folk;folk;mais que saudades;
100140;liliana herrero juan falu;folk;;leguizamon castilla por ;
100141;mã ra per;folk;folk rock;minnesmã rken;1996
100142;garth wilwand;folk;folk rock;eyes of the hurricane;2001
100143;clannad;folk;celtic;anam;1990
100144;doe maar;folk;;4us;
100145;guzman;folk;pop;guzmã n y cã a;1998
100146;david olney;folk;singer songwriter;top to bottom;1991
100147;flipper dave;folk;folk;flipper dave;1995
100148;esma redzepova;folk;worldmusic;esma queen of the gypsies macedonian songs disk 1;1998
100149;al bano;folk;;i grandi successi di al bano;
100150;jim butke;folk;celtic;a feisin statement;
100151;trio bravo;folk;national folk;pieces;
100152;lã a mendonã a;folk;gospel;uma nova unã ã o;
100153;various artists;folk;folk;ã â â ã â³â ã â ã â šâ ã song library 1;1997
100154;james durst;folk;folk;like the wind;2000
100155;konstantina;folk;;i kaliteres stigmes mou;1997
100156;pete seeger leon gieco;folk;;concierto en vivo 1;
100157;ivy markaity;folk;;world s not big enough;1997
100158;cucunandy;folk;celtic;contented minds;2001
100159;the cã ilã bandits;folk;folk;hangin at the crossroads;
100160;nylons;folk;;4 on the floor;
100161;paddy reilly;folk;folk;paddy reilly live;
100162;daily planet;folk;folklore;the big scoop;1998
100163;kazuhiko kato;folk;folk;bokuno sobani oideyo;1969
100164;various;folk;folk;hollyday musik 2;
100165;dario domingues;folk;;los vibrantes;
100166;vari;folk;latin;el campeon latino;1999
100167;vanja lazarova dimitrova;folk;folk;love;
100168;sal solo band;folk;gospel;through ancient eyes;1999
100169;hezekiah walker;folk;gospel;the best of hezekiah walker;1992
100170;alexander scourby;folk;gospel;king james bible;
100171;bapi das baul;folk;folklore;senses;2002
100172;sylloges;folk;greek non stop;sou3e club 1990 192 kbps;1990
100173;the tear garden;folk;indie;bouquet of black orchids by mioudso99;
100174;rewasese entertainment;folk;fijian;mana island;1991
100175;harmonikarice zupan;folk;;glasba zdruzila nas je;
100176;gunstein draugedalen;folk;;om hundrede ã r er alting glemt;2003
100177;merle haggard;folk;;merle haggard country legend disc 3;
100178;clannad;folk;folk;atlantic realm;1989
100179;stas bulanda s average polka band;folk;;stormin polkas;
100180;albin berger;folk;;wahre liebe;
100181;various artists;folk;;tzlil mechuvan;
100182;some like it hot;folk;;some like it hot;
100183;erich kunz;folk;folk;erich kunz singt wiener lieder;
100184;â ã â ã â j;folk;folk;â sâ â â ã â ãº;1981
100185;p watelet e germinet;folk;folklore;le top des chansons paillardes;1999
100186;sam baardman;folk;;kicking the stone home;
100187;ã ã ã ãªã ã ã ã ã ã ã ã ã ãªã ã ;folk;chanson;ã ãªã ã ã ã ã ã ã ã ã ã ã ã ã ã ã ãªã³;1996
100188;bilja krstic bistrik orchestra;folk;folk;zapisi;2002
100189;billy bragg and the blokes;folk;folklore;england and half english;2002
100190;catie curtis;folk;folk;acoustic valentine;2002
100191;gem boy;folk;;il triangolo nei bermuda;
100192;adema;folk;metal;adema;2001
100193;tomaz pengov;folk;;biti tu;
100194;the christina abbott band;folk;pop folk;climbing cathedrals;2001
100195;danko;folk;;fjeld andersen;
100196;eko;folk;;celtica;
100197;gutierrez brothers;folk;gospel;jesus fill my heart;2002
100198;stacie orrico;folk;gospel;stacie orrico;2003
100200;arjan efi;folk;;over de grenzen;
100201;various artists;folk;national folk;14 hollandse nieuwe gouwe cd12;
100202;kohala;folk;folk;cool breeze;2003
100203;alison krauss union station;folk;bluegrass;so long so wrong;1997
100204;erin berghouse;folk;folk rock;deception;1998
100205;evabritt strandberg;folk;folk;evabritt strandberg sjunger brel;
100206;battlefield band;folk;folk;farewell to nove scotia;1975
100207;poems for laila;folk;folk;frã¼hstã¼ck in budapest;2004
100208;andesmanta;folk;;causai pacha;
100209;raza india;folk;folklore;raza india;
100210;serge camille;folk;folk;beau vallon;1990
100211;liz barnes;folk;folk rock;inkmarks on pages;1996
100212;various;folk;folk;grapevine a collection;1999
100213;men of worth;folk;;harvest moon;
100214;betty elders;folk;;crayons;
100215;wild magnolias;folk;;new orleans project;
100216;â â¹â¼ã ã ã¼âµâµâ ãœ;folk;gospel;ã ã â ã ;1999
100217;amakye dede;folk;;me fre wo;
100218;various artists;folk;dance;euro darkness 1 ã â å the early days of sebã â å;
100219;simon and garfunkel;folk;folk;wednesday morning 3 am;1974
100220;ho don;folk;folk;essentials the;2002
100222;die zillertaler;folk;folk;i muaãÿ dir no sag n das i di gern hab;1995
100223;joyas del mariachi;folk;;clasicas de serenata;
100224;edith piaf;folk;;n 3;
100225;paquita la del barrio;folk;ranchera;azul celeste;2000
100226;munter macher;folk;national folk;wenn es noch engel gibt auf erden;
100227;helen shapiro;folk;folk;walking back to happiness;1996
100228;dana robinson;folk;folk;midnight salvage;1997
100229;piotr szczepanik;folk;folk;najwieksze przeboje;1991
100230;erin mckeown;folk;folk diva;grand;2003
100231;carlos di sarli;folk;tango;cascabelito;
100232;lasse stefanz;folk;dance hall;vã r kã rlek ã r stark;2002
100233;carlos nunez;folk;;brotherhood of stars;
100234;harald immig;folk;;nach hause;
100235;the travelling jewish wedding;folk;;golden gate gypsy orchestra;
100236;terje tysland;folk;folk rock;det goe liv;2004
100237;one;folk;folk;one;
100238;mick moloney;folk;;mick moloney with eugene o donnel;
100239;melanie;folk;;precious cargo;
100240;various;folk;folk;hollandse kanjers;1994
100241;penelope houston;folk;folk rock;the whole world;1993
100242;titti bianchi ruggero scandiuzzi;folk;folk;serenata;
100243;kamebushi yuka the voices of japan;folk;gospel;dedication;2002
100244;jari sillanpã ã ;folk;finnish;jari sillanpã ã ;
100245;shalom hanoch;folk;israel;or israeli;2003
100246;bluatschink;folk;;bluatschink;
100247;ibrahim tatlises;folk;folk;ah keskem;
100248;wilbury clan;folk;;live;
100249;chris newman and mã ire nã chathasaigh;folk;folk;dialogues;
100250;trakia folk 2003;folk;pop folk;trakia folk 2003;2003
100251;brothers four;folk;folk;the tokyo tapes;
100252;los super seven;folk;latin;canto;2001
100253;various artists;folk;; made in greece;
100254;after forever;folk;gothic;prison of desire;
100255;pipedown;folk;celtic;the first measure;2002
100256;joe arroyo;folk;folk;grandes ritmos del caribe;1991
100257;yarkin;folk;;ten;
100258;shamrock duo;folk;folk;aus allen himmelsrichtungen;1991
100259;wow flutter;folk;indie;pounding the pavement;1999
100260;ghymes;folk;;smaragdvã ros;
100261;pete nelson;folk;;the restless boys club;
100262;connie dover;folk;folk;the border of heaven;2000
100263;autori vari;folk;;pizzica rinascita;
100264;alan stivell;folk;;1 douar;
100265;waterson carthy;folk;folk;broken ground;1999
100266;jill knight;folk;;future perfect;
100267;at tambur;folk;tradicional;at tambur;2003
100268;doble r s s s ;folk;;lanta lanta bini bei ;
100269;r b nicol r u brown;folk;;masters of piobaireachd volume one;
100270;dara bubamara;folk;folk;2001;2001
100271;the last dance;folk;gothic;now and forever;2002
100272;nocheros;folk;folk;estado natural;2003
100273;blandade artister;folk;;100 barn;
100274;chris daring;folk;folk;the whole nine yards;
100275;kaj og andrea;folk;national folk;pã nt goddag;1996
100276;don stanley middle creek;folk;bluegrass;just because of him;
100277;nashville superpickers;folk;bluegrass;pickin on the 50 s;1994
100278;ãžã ã ã ãšã ã ã ã ã ã ã ã ã ã ã ã ãˆã ã ;folk;folk;ã ã ã ãžã ã ã ;
100279;various artists;folk;bossa nova;um barquinho e um violã o vol 1 disco 2;
100280;jorge negrete;folk;;lo mejor de jorge negrete;
100281;scott whitney;folk;acoustic;guitjazzathon;2003
100282;lesjaskog trekkspillklubb;folk;gammeldans;trekkspilltreff i sã ristua;1998
100283;sally ann and shadymile;folk;;sally ann and shadymile;
100284;aretha franklin;folk;gospel;abracadabra;1997
100285;billy edd wheeler paul craft;folk;;songs and legends of the outer banks;
100286;billy diamond;folk;;come and i will sing you;
100287;donovan;folk;folk;the very best of;
100288;jim bryson;folk;folk rock;the north side benches;2003
100289;andrã s calamaro;folk;folklore;el cantante;2004
100290;alice;folk;pop;mezzogiorno sulle alpi;1992
100291;alberto y emilia;folk;folk;asignaturas pendientes;1993
100292;gal costa;folk;;o melhor de gal costa;
100293;bzn;folk;pop;crystal gazer;1989
100294;emerald rose;folk;;emerald rose;
100295;lawrence laughing;folk;native american;now our minds are one;2000
100296;ekeinos ekeinos;folk;folk;mia ginaika mono kserei;2000
100297;ghymes;folk;folk;az ifjãºsã g sã³lyommadã r;1988
100298;blackthorn;folk;celtic;the other side;1998
100299;lenka filipova;folk;folk;tisic zpusobu jak zabit lasku;2003
100300;judy collins;folk;;both sides now 1998;
100301;lã a mendonã a;folk;gospel;louvor profã tico;2004
100302;hector;folk;folk;hidas;1999
100303;auscultate;folk;chorus;mystical chants the songs of the beatles;
100304;adriano celentano;folk;folk;le robe che ha detto adriano;
100306;jim hiscott;folk;;spirit reel;
100307;enzo iannacci;folk;folk;enzo iannacci;2000
100308;various artists;folk;folk;platinum folk live 2;2000
100309;various artists;folk;gospel;i am not ashamed of the gospel;2001
100310;lole y manuel;folk;flamenco;hojitas de menta;2000
100311;various native artists;folk;folk;global celebration gatherings;
100312;cheb mami;folk;rai;dellali;2001
100313;yang yi he erhu;folk;folk;the flowing river water;
100314;trovante;folk;national folk;uma noite sã³ disc 2;2000
100315;5 fold;folk;gospel;5 fold;2002
100316;various;folk;folk;hot newfoundland tunes 4 christmas;2003
100317;inti jorge alfaro ;folk;;because of you;
100318;jane siberry;folk;folk;when i was a boy;
100319;within temptation;folk;gothic;mother earth tour dvd live cd ;2002
100320;rough guide to bhangra;folk;indie;rough guide to bhangra;2002
100321;ichu;folk;misc;ichu;
100322;simon garfunkel;folk;folk rock;bookends reissue ;1968
100323;tree of shadows;folk;folk rock;pause;2000
100324;johann murg;folk;folk;zauber auf der steirischen harmonika;1989
100325;grupo atrapado;folk;latin;en la frontera;1999
100326;maã a s;folk;folk;mariachi andino;
100327;roger chevrier;folk;;c est noã l c est noã l c est noã l ;
100328;charlie hart ben waters chris jagger;folk;folk rock;atcha acoustic from lhasa to lewisham ;1997
100329;maria dimitriadi;folk;;to magiko kleidi;
100330;machitãºn;folk;;pasiã³n latina;
100331;various artists;folk;folklore;las mejores rumbas 1;1991
100332;carlos vives;folk;vallenato;la tierra del olvido;2000
100333;minstrels of mayhem;folk;;now;
100335;andrew lorand;folk;;location location location;
100336;reverend gary davis;folk;gospel;a little more faith;
100337;la tordue;folk;folk;champ libre;2002
100338;â½â²âµ ;folk;jazz;â½â²âµ âªã â ã¹â lâ â³ã¼â â ã â²pâºqâ k;2001
100339;mark tindle;folk;instrumental;airs of ireland;1991
100340;ivan i vrã a;folk;dragspel;sommarkvã ll vid grã cken;
100341;elaine de jesus;folk;gospel;muito especial play back;
100342;wylde nept;folk;folk rock;live in 3 d;1998
100343;out of eden;folk;gospel;this is your life;2002
100344;juliette greco;folk;vocal;aimez vous les uns les autres ou bien disparaissez;2003
100345;cursive;folk;indie;splits eps;2002
100346;mush;folk;;return of the giant school girl crush;
100347;chris meredith thompson;folk;;ithaca;
100348;obituary;folk;metal;godly beings;
100349;laboratorio musicale del graal;folk;celtic;sacred land;2002
100350;benny neyman;folk;folk;de grootste sucessen;
100351;mynta;folk;;nandu s dance;
100352;chiclete com banana;folk;axã ;ã festa ;
100353;chris johnny;folk;folk;miles and means;1994
100354;bob dylan;folk;;love and theft;
100355;hassan hakmoun;folk;;life around the world;
100356;bri;folk;folk;unpolished;2001
100357;leonard cohen;folk;folk;more best of;
100358;alexander scourby;folk;gospel;king james bible;
100359;merel chiasson;folk;;old time fiddle tunes;
100360;hans mayer;folk;folk;see you later alligator;
100361;thomas thomas;folk;;weihnachten;
100362;the new christy minstrels;folk;folk;36 all time folk favorites vol 2;2000
100363;pedro messone;folk;folk rock;mejores exitos;
100364;sadik gãœrbãœz;folk;folk;2 sevdadã½r;
100365;tata mirando en zijn zigeunerorkest;folk;gypsy;tata mirando en zijn zigeunerorkest;1994
100366;die diamanten;folk;;i mag di;
100367;elfi reitz;folk;folklore;die singende winzerin;
100368;sevillanas histã³ricas;folk;folklore;sevillanas histã³ricas volumen i;2002
100369;vocal carpe diem;folk;gospel;cantar ã preciso;2002
100370;scarlet s well;folk;;strange letters;
100371;pierre perret;folk;folk;ã ui lã ;2002
100372;des geyers schwarzer haufen;folk;folk rock;all voll;1988
100373;lasse dahlberg hans kennemark;folk;folklore;hã l i vã gga;1995
100374;renaud;folk;chanson;mistral gagnant;1985
100375;heerlijke hollandse hits cd 047;folk;;renee de haan;
100376;halvdan sivertsen;folk;folk;amerika;
100377;matapat;folk;folk;petit fou;2001
100378;woody guthrie;folk;;a legendary performer;
100379;junco;folk;folk;junco;2001
100380;adriana landeros;folk;;si te vas;
100381;varios;folk;folk;iii certamen tunas almeria;1995
100384;rachel bissex;folk;;don t look down;
100385;ãƒâ â dâ â ã ã ã â¼â â ã ã ã âªâ â ã ãžâºâ ã â ;folk;folk;ã ã â âºâµã ã ã â ã ;1999
100386;david michael randy mead;folk;;keystone passage;1993
100387;septeto santiaguero;folk;salsa;la pulidora;1999
100388;declan masterson;folk;celtic;end of the harvest;1991
100389;various artists;folk;;artists of talent connections;
100390;mannik grigorian;folk;national folk;van;
100391;steve mcdonald;folk;celtic;legend;
100392;rockdrigo gonzã lez;folk;;en el cafã de los artesanos aguascalientes vol 1;
100393;ã msir;folk;folk rock;megasarlã g;
100394;okay temiz the zurna project;folk;;karsilama;1999
100395;sugartown;folk;folk;sugartown;2002
100396;corries;folk;celtic;live at the royal lyceum theatre;1998
100397;marilyn manson;folk;gothic rock;mechanical animals;1999
100398;mike craver;folk;folk;wagoner s lad;1999
100399;nancy bryan;folk;folk rock;neon angel;2000
100400;paul brady;folk;;the paul brady songbook;2002
100401;the horse flies;folk;folk;the horse flies;
100402;nanaku group;folk;folk;hitam hitam kuli kanari;
100403;dobe newton et al;folk;;best of songs stories of australia cd 2;
100404;kalle almlã f;folk;;lejsmelã tar;
100405;rory mcleod;folk;;travelling home;
100406;nationale blue;folk;indie;a different kind of listening;2002
100407;kilima hawaiians;folk;folk;rhythm of the islands;1988
100408;ãˆ ã ã ã ã ã ã ã ã ã farlanders;folk;folk rock;moments;
100409;youssou n dour;folk;pop folk;birth of a star;2001
100410;vig mihaly;folk;;ciganydalok;
100411;rosa balistreri;folk;folk rock;i luoghi e la memoria;
100412;della bosiers;folk;vocal;della bosiers 1972 1974;1998
100413;pete seeger;folk;folk;all time favorites;
100414;sebastian siegel;folk;folk;ich mã chtâ so gern dein teddybã r sein;1997
100415;vã ctor herdia;folk;folklore;vã ctor herdia;1991
100416;sestry steinovy;folk;;muj tanec;
100417;kazantzidis stelios;folk;laika;to tragoudi ths kardias mou;
100418;buffy sainte marie;folk;folk;it s my way ;1964
100419;various artists;folk;swing;swing city;2000
100420;steve annie chapman;folk;gospel;for times like these;1991
100421;massamba;folk;;african soukouss;
100422;ã ã ã ã ã ã ã ã ã ã ã ã ã ãªã ã ;folk;folk;ã ã ã ã ã ã ã ã ã ã ã ã ã ãªã ã ã ã ã ã ã ã ã ãµ ãœã ãµã ã ã ã ã ã ã ã ãªã ã ã 6;
100423;la marmotte;folk;folk;chez madeleine;2000
100424;highland weavers going home;folk;;highland weavers going home;
100425;rolando boldrin;folk;pop;grandes sucessos;
100426;opus cuatro;folk;folklore;militantes de la vida;1984
100427;belchior;folk;mpb;auto retrato cd2 pequeno mapa do tempo;
100428;kaysha;folk;freestyle;i m ready;1998
100429;tony conjugacion;folk;;the collection;
100430;various artists;folk;christian rock;you will remain;2003
100431;frans bauer;folk;folk;de frans bauer karaoke top 30 cd 1;1997
100432;various;folk;celtic;celtic heritage;2000
100433;georg kreisler;folk;cabaret;lieder zum fã¼rchten;1990
100434;goran ivanovic fareed haque;folk;;macedonian blues;
100435;waterdeep worship;folk;christian rock;you are so good to me;2001
100436;despoina vandi;folk;;the best cd 2;
100437;buzzworld;folk;folk;saol buzz;1996
100438;david gray;folk;folk rock;sell sell sell;
100439;fatih kisaparmak;folk;;vay benim hayallerim;
100440;50 greatest gospel hits;folk;gospel;50 greatest gospel hits cd2;2003
100441;kanda bongo man;folk;;the very best;
100442;exit;folk;gospel;pellavaa ja purppuraa;1997
100443;pepe aguilar;folk;folk;y tenerte otra vez;2003
100444;roberto blades;folk;salsa;encore;2001
100445;davide van de sfroos;folk;folklore;brã va e tivã n;1999
100446;ãžã ã ã ãšã ã ã²ã ã ã ;folk;;ãˆã ã ã ã ã ;
100448;various artistsings of traditional irish dance music;folk;celtic;happy to meet sorry to part classic recordings of traditional irish dance music;1996
100449;â³â â ã â ;folk;;â ã¼â v;
100450;zeleziar;folk;folklore;hudba ku skole tanca;
100451;al kindã ;folk;;le salon de musique d alep;1998
100452;various;folk;national folk;hollandse hits op mortier orgel;
100453;limeliters the;folk;folk;limeliters the;1959
100454;vicente fernandez;folk;;por tu maldito amor;
100455;lucã a de la cruz;folk;folklore;vol 0;
100456;peter grã nlund;folk;dk dansk;bolvã rksmatroser;2000
100457;palemiger spatzen;folk;folk;harmonika party;
100458;khamisu khan;folk;;art of alghoza from sind;
100459;commonbond;folk;;super elastic acoustic plastic;
100460;kevn kinney;folk;;down out law;
100461;various;folk;son;cuban lullabys;
100462;pogues;folk;folk;hell s ditch;1990
100463;dan bonis;folk;acoustic;delivering the cake;2004
100464;jerry garcia;folk;bluegrass;jerry s home disc ii ;1995
100465;vamp;folk;folk;god morgen sã ster;1993
100466;various;folk;irish folk;classic irish airs instrumental ;1997
100467;subway to sally;folk;national folk;mcmxcv;1995
100468;vujicsics ensemble;folk;;serb and croat folk music;
100469;bert jansch;folk;folk;the ornament tree;1990
100470;juan perro;folk;;raices al viento;
100471;spailpã n;folk;;on a long journey home;
100472;two left feet;folk;folk;music for irish dancing vol 1 solos;2000
100473;ali;folk;zouk;at home ;1999
100474;the urban gypsies;folk;folk;then there was faith;1999
100475;10 000 maniacs;folk;folk;our time in eden;1992
100476;mary black;folk;folk;babes in the wood;1991
100477;harry sheppard;folk;;viva brasil;
100478;heart of ireland;folk;celtic;heart of ireland;
100479;kevin burke;folk;folk;in concert;1999
100480;varios reggae;folk;folk rock;rasta reggae c d 3;
100481;city of invercargill caledonian pipe band;folk;folk rock;pipin hot ii;2003
100482;mare nostrum;folk;;mare nostrum;
100483;rock n roll diktator;folk;folk;sorge ecke mã¼hsam;2003
100484;flap;folk;irish folk;away from home;1995
100485;various artist;folk;folklore;sikidim;
100486;shawn mullins;folk;;soul s core;
100487;rachel owens;folk;folk;through these eyes;1999
100488;runrig;folk;;in search of angels;
100489;miranda stone;folk;folk rock;7 deadly sins;2002
100490;samy y sandra sandoval;folk;;samy y sandra sandoval vol 1;
100491;damon naomi;folk;folk;song to the siren live in san sebastian ;2002
100492;herman van veen;folk;folk;was ich dir singen wollte live cd2;2002
100493;marwan abado peter rosmanith;folk;;marakeb;
100494;various artists;folk;;spielrã ume jubilã ums cd der wirkstatt e v ;
100495;afrikanische top stars;folk;folklore;african worldbeat;
100496;vã rios;folk;gospel;vem esta ã a hora;2002
100497;burnside accordian band;folk;folk;marching to victory;2000
100498;marã a dolores pradera;folk;folk;ã xitos de marã a dolores pradera;1992
100499;tomeu penya;folk;;aixã² ã s pecat;2001
100500;ã ã ã ã ã ã ã ã ã¹ã ã ã ã ;folk;ã ã ã ã ã ;ã ã ã ã ã ã ã ã ã ã ã ãºã ã ã ã ã ãº ã ã ã ã ã ;1992
100501;gurktaler musikanten;folk;;hast du heute schon an mich gedacht;
100502;varios;folk;;mumm musica de peliculas;
100503;el consorcio;folk;;programa doble;
100504;mary bergin;folk;folk;feadoga stain;1979
100505;polkacide;folk;;polkacide;
100506;mike west and meeshkin;folk;folk bluegrass;redneck riviera;98
100507;various artists;folk;folk;die weiãÿblaue hitparade cd 2 2;
100508;the swinging blue jeanse jeans;folk;rock roll;the greatest hits of the swinging blue jeans;1989
100509;honolulu shunshine band;folk;folk;hawaiian dreams cd2;1988
100510;various artists;folk;nederlands;schuine cafã hits;2003
100511;lucinho e luciano;folk;gospel;volume 4;2001
100513;celtic connection;folk;folk;higher;
100514;various artists;folk;;sveriges bã sta dansband 8;
100515;el flamenco a travã s;folk;folklore;el flamenco a travã s vol v;2002
100516;die drei koebesse;folk;;mundartgerecht serviert;
100517;tuna de ingenieros de telecomunicaciã³n de valencia;folk;folklore;rumor en los balcones;
100518;quilapayãºn;folk;;adelante;
100519;fagner;folk;;bateu saudade;
